,路線名,駅名,設置年月
202,沖縄都市モノレール沖縄都市モノレール線,古島,2003/08/01 00:00
203,沖縄都市モノレール沖縄都市モノレール線,おもろまち,2003/08/01 00:00
204,沖縄都市モノレール沖縄都市モノレール線,安里,2003/08/01 00:00
205,沖縄都市モノレール沖縄都市モノレール線,市立病院前,2003/08/01 00:00
206,沖縄都市モノレール沖縄都市モノレール線,美栄橋,2003/08/01 00:00
207,沖縄都市モノレール沖縄都市モノレール線,県庁前,2003/08/01 00:00
208,沖縄都市モノレール沖縄都市モノレール線,牧志,2003/08/01 00:00
209,沖縄都市モノレール沖縄都市モノレール線,壺川,2003/08/01 00:00
210,沖縄都市モノレール沖縄都市モノレール線,奥武山公園,2003/08/01 00:00
211,沖縄都市モノレール沖縄都市モノレール線,小禄,2003/08/01 00:00
212,沖縄都市モノレール沖縄都市モノレール線,赤嶺,2003/08/01 00:00
213,沖縄都市モノレール沖縄都市モノレール線,那覇空港,2003/08/01 00:00
214,沖縄都市モノレール沖縄都市モノレール線,旭橋,2003/08/01 00:00
215,沖縄都市モノレール沖縄都市モノレール線,儀保,2003/08/01 00:00
216,東海旅客鉄道東海道新幹線,品川,2003/10/01 00:00
217,福岡市交通局空港線,室見,2004/03/01 00:00
218,福岡市交通局空港線,博多,2004/03/01 00:00
219,福岡市交通局空港線,祇園,2004/03/01 00:00
220,九州旅客鉄道九州新幹線,新八代,2004/03/01 00:00
221,福岡市交通局空港線,姪浜,2004/03/01 00:00
222,福岡市交通局空港線,大濠公園,2004/03/01 00:00
223,福岡市交通局空港線,西新,2004/03/01 00:00
224,福岡市交通局空港線,唐人町,2004/03/01 00:00
225,九州旅客鉄道九州新幹線,出水,2004/03/01 00:00
226,福岡市交通局空港線,赤坂,2004/03/01 00:00
227,福岡市交通局空港線,天神,2004/03/01 00:00
228,九州旅客鉄道九州新幹線,新水俣,2004/03/01 00:00
229,九州旅客鉄道九州新幹線,川内,2004/03/01 00:00
230,福岡市交通局空港線,藤崎,2004/03/01 00:00
231,福岡市交通局空港線,東比恵,2004/03/01 00:00
232,福岡市交通局空港線,福岡空港,2004/03/01 00:00
233,福岡市交通局空港線,中洲川端,2004/03/01 00:00
234,九州旅客鉄道九州新幹線,鹿児島中央,2004/03/01 00:00
235,東京地下鉄丸ノ内線分岐線,方南町,2004/05/01 00:00
236,東京地下鉄丸ノ内線分岐線,中野富士見町,2004/05/01 00:00
237,東京地下鉄丸ノ内線分岐線,中野新橋,2004/05/01 00:00
238,東京地下鉄丸ノ内線,中野坂上,2004/05/01 00:00
239,名古屋臨海高速鉄道あおなみ線,荒子川公園,2004/10/01 00:00
240,名古屋臨海高速鉄道あおなみ線,金城ふ頭,2004/10/01 00:00
241,名古屋臨海高速鉄道あおなみ線,名古屋,2004/10/01 00:00
242,名古屋臨海高速鉄道あおなみ線,名古屋競馬場前,2004/10/01 00:00
243,名古屋臨海高速鉄道あおなみ線,中島,2004/10/01 00:00
244,名古屋臨海高速鉄道あおなみ線,南荒子,2004/10/01 00:00
245,名古屋臨海高速鉄道あおなみ線,荒子,2004/10/01 00:00
246,名古屋臨海高速鉄道あおなみ線,小本,2004/10/01 00:00
247,名古屋臨海高速鉄道あおなみ線,稲永,2004/10/01 00:00
248,名古屋臨海高速鉄道あおなみ線,野跡,2004/10/01 00:00
249,名古屋臨海高速鉄道あおなみ線,ささしまライブ,2004/10/01 00:00
250,京都市交通局東西線,石田,2004/11/01 00:00
251,京都市交通局東西線,六地蔵,2004/11/01 00:00
252,東京モノレール東京モノレール羽田線,羽田空港第２ターミナル,2004/12/01 00:00
253,福岡市交通局七隈線,別府,2005/02/01 00:00
254,福岡市交通局七隈線,金山,2005/02/01 00:00
255,福岡市交通局七隈線,七隈,2005/02/01 00:00
256,福岡市交通局七隈線,福大前,2005/02/01 00:00
257,福岡市交通局七隈線,梅林,2005/02/01 00:00
258,福岡市交通局七隈線,六本松,2005/02/01 00:00
259,福岡市交通局七隈線,桜坂,2005/02/01 00:00
260,福岡市交通局七隈線,薬院大通,2005/02/01 00:00
261,福岡市交通局七隈線,薬院,2005/02/01 00:00
262,福岡市交通局七隈線,渡辺通,2005/02/01 00:00
263,福岡市交通局七隈線,野芥,2005/02/01 00:00
264,福岡市交通局七隈線,賀茂,2005/02/01 00:00
265,福岡市交通局七隈線,次郎丸,2005/02/01 00:00
266,福岡市交通局七隈線,天神南,2005/02/01 00:00
267,福岡市交通局七隈線,茶山,2005/02/01 00:00
268,福岡市交通局七隈線,橋本,2005/02/01 00:00
269,愛知高速交通東部丘陵線,杁ヶ池公園,2005/03/01 00:00
270,愛知高速交通東部丘陵線,芸大通,2005/03/01 00:00
271,愛知高速交通東部丘陵線,公園西,2005/03/01 00:00
272,愛知高速交通東部丘陵線,愛・地球博記念公園,2005/03/01 00:00
273,愛知高速交通東部丘陵線,陶磁資料館南,2005/03/01 00:00
274,愛知高速交通東部丘陵線,八草,2005/03/01 00:00
275,愛知高速交通東部丘陵線,藤が丘,2005/03/01 00:00
276,愛知高速交通東部丘陵線,長久手古戦場,2005/03/01 00:00
277,愛知高速交通東部丘陵線,はなみずき通,2005/03/01 00:00
278,首都圏新都市鉄道つくばエクスプレス,南千住,2005/08/01 00:00
279,首都圏新都市鉄道つくばエクスプレス,青井,2005/08/01 00:00
280,首都圏新都市鉄道つくばエクスプレス,新御徒町,2005/08/01 00:00
281,首都圏新都市鉄道つくばエクスプレス,秋葉原,2005/08/01 00:00
282,首都圏新都市鉄道つくばエクスプレス,六町,2005/08/01 00:00
283,首都圏新都市鉄道つくばエクスプレス,八潮,2005/08/01 00:00
284,首都圏新都市鉄道つくばエクスプレス,三郷中央,2005/08/01 00:00
285,首都圏新都市鉄道つくばエクスプレス,南流山,2005/08/01 00:00
286,首都圏新都市鉄道つくばエクスプレス,流山セントラルパーク,2005/08/01 00:00
287,首都圏新都市鉄道つくばエクスプレス,流山おおたかの森,2005/08/01 00:00
288,首都圏新都市鉄道つくばエクスプレス,北千住,2005/08/01 00:00
289,首都圏新都市鉄道つくばエクスプレス,浅草,2005/08/01 00:00
290,首都圏新都市鉄道つくばエクスプレス,つくば,2005/08/01 00:00
291,首都圏新都市鉄道つくばエクスプレス,守谷,2005/08/01 00:00
292,首都圏新都市鉄道つくばエクスプレス,研究学園,2005/08/01 00:00
293,首都圏新都市鉄道つくばエクスプレス,万博記念公園,2005/08/01 00:00
294,首都圏新都市鉄道つくばエクスプレス,柏の葉キャンパス,2005/08/01 00:00
295,首都圏新都市鉄道つくばエクスプレス,柏たなか,2005/08/01 00:00
296,首都圏新都市鉄道つくばエクスプレス,みどりの,2005/08/01 00:00
297,首都圏新都市鉄道つくばエクスプレス,みらい平,2005/08/01 00:00
298,福岡市交通局箱崎線,馬出九大病院前,2006/01/01 00:00
299,福岡市交通局箱崎線,千代県庁口,2006/01/01 00:00
300,福岡市交通局箱崎線,呉服町,2006/01/01 00:00
301,福岡市交通局箱崎線,中洲川端,2006/01/01 00:00
302,福岡市交通局箱崎線,箱崎九大前,2006/01/01 00:00
303,福岡市交通局箱崎線,貝塚,2006/01/01 00:00
304,福岡市交通局箱崎線,箱崎宮前,2006/01/01 00:00
305,神戸新交通ポートアイランド線,神戸空港,2006/02/01 00:00
306,神戸新交通ポートアイランド線,京コンピューター前,2006/02/01 00:00
307,神戸新交通ポートアイランド線,医療センター,2006/02/01 00:00
308,ゆりかもめ東京臨海新交通臨海線,市場前 ,2006/03/01 00:00
309,ゆりかもめ東京臨海新交通臨海線,新豊洲,2006/03/01 00:00
310,ゆりかもめ東京臨海新交通臨海線,豊洲,2006/03/01 00:00
311,ゆりかもめ東京臨海新交通臨海線,有明テニスの森,2006/03/01 00:00
312,名古屋鉄道名鉄空港線,中部国際空港,2006/04/01 00:00
313,東京地下鉄丸ノ内線,南阿佐ケ谷,2006/06/01 00:00
314,東京地下鉄丸ノ内線,荻窪,2006/06/01 00:00
315,東京地下鉄丸ノ内線,東高円寺,2006/07/01 00:00
316,東京地下鉄丸ノ内線,新高円寺,2006/07/01 00:00
317,東京地下鉄丸ノ内線,新中野,2006/08/01 00:00
318,東京地下鉄丸ノ内線,池袋,2006/09/01 00:00
319,東京地下鉄丸ノ内線,西新宿,2006/09/01 00:00
320,東京地下鉄丸ノ内線,新宿,2006/10/01 00:00
321,東京地下鉄丸ノ内線,新宿三丁目,2006/11/01 00:00
322,大阪市高速電気軌道今里筋線,関目成育,2006/12/01 00:00
323,東京地下鉄丸ノ内線,新大塚,2006/12/01 00:00
324,東京地下鉄丸ノ内線,新宿御苑前,2006/12/01 00:00
325,大阪市高速電気軌道今里筋線,新森古市,2006/12/01 00:00
326,大阪市高速電気軌道今里筋線,瑞光四丁目,2006/12/01 00:00
327,大阪市高速電気軌道今里筋線,清水,2006/12/01 00:00
328,大阪市高速電気軌道今里筋線,太子橋今市,2006/12/01 00:00
329,大阪市高速電気軌道今里筋線,今里,2006/12/01 00:00
330,大阪市高速電気軌道今里筋線,緑橋,2006/12/01 00:00
331,大阪市高速電気軌道今里筋線,鴫野,2006/12/01 00:00
332,大阪市高速電気軌道今里筋線,蒲生四丁目,2006/12/01 00:00
