駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
2,JR九州,九州新幹線,久留米,福岡県久留米市,相対式2面2線,11・12番線,可動式ホーム柵,2011/03/01 00:00,,在来線ホーム（1・2・3・4・5番線）は未設置,
3,JR九州,九州新幹線,筑後船小屋,福岡県筑後市,単式1面1線・島式1面2線,11・12・13番線,可動式ホーム柵,2011/03/01 00:00,,在来線ホーム（1・2番線）は未設置,
4,JR九州,九州新幹線,新大牟田,福岡県大牟田市,相対式2面2線,11・12番線,可動式ホーム柵,2011/03/01 00:00,,,
5,JR九州,九州新幹線,新玉名,熊本県玉名市,相対式2面2線,11・12番線,可動式ホーム柵,2011/03/01 00:00,,,
6,JR九州,九州新幹線,熊本,熊本県熊本市西区,島式2面4線,11・12・13・14番線,可動式ホーム柵,2011/03/01 00:00,,在来線ホーム（1・2・3･4・5・6番線）は未設置,
7,JR九州,九州新幹線,新八代,熊本県八代市,相対式2面2線,11・12番線,可動式ホーム柵,2004/03/01 00:00,,在来線ホーム（1・2番線）は未設置,
8,JR九州,九州新幹線,新水俣,熊本県水俣市,島式1面2線・単式1面1線,11・12・13番線,可動式ホーム柵,2004/03/01 00:00,,,
9,JR九州,九州新幹線,出水,鹿児島県出水市,相対式2面2線,11・12番線,可動式ホーム柵,2004/03/01 00:00,,,
10,JR九州,九州新幹線,川内,鹿児島県薩摩川内市,相対式2面2線,11・12番線,可動式ホーム柵,2004/03/01 00:00,,在来線ホーム（1・2番線）は未設置,
11,JR九州,九州新幹線,鹿児島中央,鹿児島県鹿児島市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2004/03/01 00:00,,在来線ホーム（1・2・3・4・5・6番線）は未設置,
12,JR九州,筑肥線,九大学研都市駅,福岡県福岡市西区,島式１面２線,1番線・２番線,可動式ﾎｰﾑ柵,2018/09/01 00:00,,下りはH29.11に設置,△一部の駅
1,東武鉄道,東上線,池袋,東京都豊島区,頭端式3面3線,1・2・3・4番線,可動式ホーム柵,2018/04/01 00:00,○,2・3番線はH31.3に設置、4番線はR1.12に設置5番線はR2.1に固定柵設置,△一部の駅
2,東武鉄道,東上線,和光市,埼玉県和光市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2012/07/01 00:00,○,2・3番線は東京メトロと供用、1・4番線はH28.3に設置,
3,東武鉄道,東上線,朝霞,埼玉県朝霞市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2019/03/01 00:00,,1・2番線はＲ2.3に設置,
4,東武鉄道,東上線,志木,埼玉県新座市,島式2面4線,3・4番線,可動式ホーム柵,2020/02/01 00:00,○,3番線はR2.3に設置1・2番線はR2年度設置予定,
5,東武鉄道,東上線,川越,埼玉県川越市,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,○,,
6,東武鉄道,野田線,船橋,千葉県船橋市,島式1面2線,1・2番線,可動式ホーム柵,2014/03/01 00:00,○,,△一部の駅
7,東武鉄道,野田線,柏,千葉県柏市,頭端式2面4線,1・2・3・4番線,可動式ホーム柵,2015/02/01 00:00,○,3・4番線はH27.3に設置,
1,西武鉄道,池袋線,池袋,東京都豊島区,島式4面7線,2～6番線,可動式ホーム柵,2016/03/01 00:00,○,1・7番線は未設置,△一部の駅
2,西武鉄道,池袋線,練馬,東京都練馬区,島式2面4線,1～4番線,可動式ホーム柵,2020/02/01 00:00,○,,
3,西武鉄道,新宿線,西武新宿,東京都新宿区,くし形2面3線,2番線,可動式ホーム柵,2020/03/01 00:00,○,1・3番線は未設置,△一部の駅
1,京成電鉄,本線,日暮里,東京都荒川区,３面２線（下り線：2面1線）（上り線：1面1線）,1・2番線（下り線）,可動式ホーム柵,2018/02/01 00:00,○,0番線（上り線）はH30.12に設置,△一部の駅
3,京成電鉄,本線,空港第２ビル駅,千葉県成田市,相対式２面４線,1～4番線,可動式ホーム柵,2019/03/01 00:00,,,
1,京王電鉄,京王線,国領,東京都調布市,島式1面2線,1・2番線,可動式ホーム柵,2012/08/01 00:00,,,△一部の駅
2,京王電鉄,京王線,布田,東京都調布市,島式1面2線,1・2番線,ホームドア,2012/08/01 00:00,,,
