,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
44,42.0,JR東日本,山手線,浜松町,東京都港区,島式2面4線,2･3番線,可動式ホーム柵,2020/03/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
45,43.0,JR東日本,京浜東北線,赤羽,東京都北区,島式1面2線,1・2番線,可動式ホーム柵,2017/03/01 00:00,○,京浜東北線ホーム以外は未設置,△一部の駅,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
46,44.0,JR東日本,京浜東北線,さいたま新都心,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,2017/09/01 00:00,○,京浜東北線ホーム以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
47,45.0,JR東日本,京浜東北線,浦和,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,2017/10/01 00:00,○,京浜東北線ホーム以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
48,,JR東日本,京浜東北線,上野,東京都台東区,島式2面4線,1・4番線,可動式ホーム柵,2017/12/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
49,46.0,JR東日本,京浜東北線,大井町,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,2018/02/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
50,47.0,JR東日本,京浜東北線,鶴見,神奈川県横浜市,島式1面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,○,京浜東北線ホーム以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
51,48.0,JR東日本,京浜東北線,桜木町,神奈川県横浜市,島式2面3線,1・4番線,可動式ホーム柵,2018/08/01 00:00,○,1・4番線ホーム以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
52,,JR東日本,京浜東北線,有楽町,東京都千代田区,島式2面4線,1・4番線,可動式ホーム柵,2018/09/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
53,,JR東日本,京浜東北線,御徒町,東京都台東区,島式2面4線,1・4番線,可動式ホーム柵,2018/12/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
54,49.0,JR東日本,京浜東北線,東神奈川,神奈川県横浜市,島式2面4線,1・4番線,可動式ホーム柵,2018/12/01 00:00,,1・4番線ホーム以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
55,,JR東日本,京浜東北線,品川,東京都港区,島式1面1線､島式1面2線,5番線,可動式ホーム柵,2018/12/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
56,50.0,JR東日本,京浜東北線,王子,東京都北区,1面2線,1・2番線,可動式ホーム柵,2019/02/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
57,,JR東日本,京浜東北線,秋葉原,東京都千代田区,2面4線,1・4番線,可動式ホーム柵,2019/02/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
58,51.0,JR東日本,京浜東北線,南浦和,埼玉県さいたま市,2面4線,1番線,可動式ホーム柵,2019/02/01 00:00,○,京浜東北線南行ホーム（1番線）以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
59,,JR東日本,京浜東北線,西日暮里,東京都荒川区,島式2面4線,1・4番線,可動式ホーム柵,2019/04/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
60,52.0,JR東日本,京浜東北線,川口,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2019/06/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
61,,JR東日本,京浜東北線,高輪ゲートウェイ,東京都港区,島式1面2線,3・4番線,可動式ホーム柵,2020/03/01 00:00,,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
62,53.0,JR東日本,京浜東北線,西川口,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2019/07/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
63,54.0,JR東日本,京浜東北線,大森,東京都大田区,島式1面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
64,,JR東日本,京浜東北線,神田,東京都千代田区,島式2面4線,1・4番線,可動式ホーム柵,2019/10/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
65,55.0,JR東日本,京浜東北線,横浜,神奈川県横浜市西区,島式1面2線,3・4番線,可動式ホーム柵,2019/11/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
66,56.0,JR東日本,京浜東北線,蒲田,東京都大田区,島式2面3線,1・4番線,可動式ホーム柵,2019/11/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
67,57.0,JR東日本,京浜東北線,北浦和,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
68,,JR東日本,京浜東北線,新橋,東京都港区,島式2面4線,3・6番線,可動式ホーム柵,2019/12/01 00:00,○,（参照）【ＪＲ東日本山手線】,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
69,58.0,JR東日本,京浜東北線,蕨,埼玉県蕨市,島式1面2線,1・2番線,可動式ホーム柵,2020/02/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北本線_addRailname.geojson
70,59.0,JR東日本,総武快速線,新小岩,東京都葛飾区,1面2線,3・4番線,可動式ホーム柵,2018/12/01 00:00,○,総武快速線ホーム（3・4番線）以外は未設置,△一部の駅,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道総武本線_addRailname.geojson
71,60.0,JR東日本,横浜線,町田,東京都町田市,島式2面4線,4番線,可動式ホーム柵,2017/07/01 00:00,○,,△一部の駅,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道横浜線_addRailname.geojson
72,61.0,JR東日本,八高線,拝島,東京都昭島市,島式1面2線,5番線,昇降式ホーム柵,2015/03/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道八高線_addRailname.geojson
73,62.0,JR東日本,成田線,空港第２ビル駅,千葉県成田市,相対式１面１線,1番線,昇降式ホーム柵,2020/03/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道成田線_addRailname.geojson
74,63.0,JR東日本,成田線,成田空港駅,千葉県成田市,島式１面２線,1･2番線,昇降式ホーム柵,2020/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道成田線_addRailname.geojson
75,1.0,JR東海,東海道新幹線,東京,東京都千代田区,島式3面6線,14～19番線,可動式ホーム柵,2013/03/01 00:00,○,,△一部の駅,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
76,2.0,JR東海,東海道新幹線,品川,東京都港区,島式2面4線,21・23・24番線,可動式ホーム柵,2003/10/01 00:00,,23番線はH29.9に供用開始、22番線は未設置（固定柵設置）,,/home/zaiying/A-Pastani/data/JR東海/東海旅客鉄道東海道新幹線_addRailname.geojson
